,nconst,Catégorie,primaryName
11006,nm0000436,Réalisateur,Curtis Hanson
11017,nm0000436,Producteur,Curtis Hanson
11020,nm0000437,Acteur,Woody Harrelson
11064,nm0000438,Acteur,Ed Harris
11117,nm0000439,Acteur,Neil Patrick Harris
11128,nm0000441,Acteur,Noah Hathaway
11131,nm0000442,Acteur,Rutger Hauer
11168,nm0000443,Acteur,Goldie Hawn
11195,nm0000444,Acteur,Glenne Headly
11211,nm0000445,Acteur,Dan Hedaya
11221,nm0000446,Acteur,Mariel Hemingway
11238,nm0000447,Acteur,Marilu Henner
11244,nm0000448,Acteur,Lance Henriksen
11283,nm0000449,Acteur,Natasha Henstridge
11301,nm0000450,Acteur,Philip Seymour Hoffman
11330,nm0000451,Acteur,Gaby Hoffmann
11341,nm0000452,Acteur,Lauren Holly
11359,nm0000453,Acteur,Ian Holm
11383,nm0000454,Acteur,Dennis Hopper
11390,nm0000454,Réalisateur,Dennis Hopper
11433,nm0000455,Réalisateur,John Hughes
11441,nm0000455,Producteur,John Hughes
11442,nm0000456,Acteur,Holly Hunter
11465,nm0000457,Acteur,John Hurt
11513,nm0000458,Acteur,William Hurt
11562,nm0000459,Acteur,Timothy Hutton
11577,nm0000459,Réalisateur,Timothy Hutton
11597,nm0000460,Acteur,Jeremy Irons
11631,nm0000461,Acteur,Michael Ironside
11662,nm0000462,Acteur,Kate Jackson
11667,nm0000463,Acteur,Famke Janssen
11688,nm0000463,Réalisateur,Famke Janssen
11691,nm0000464,Réalisateur,Jim Jarmusch
11692,nm0000464,Compositeur,Jim Jarmusch
11705,nm0000465,Acteur,Ron Jeremy
11707,nm0000466,Réalisateur,Jean-Pierre Jeunet
11714,nm0000467,Acteur,Don Johnson
11732,nm0000468,Acteur,Lynn-Holly Johnson
11738,nm0000469,Acteur,James Earl Jones
11770,nm0000470,Acteur,Jeffrey Jones
11783,nm0000471,Acteur,Raul Julia
11797,nm0000472,Acteur,Boris Karloff
11814,nm0000473,Acteur,Diane Keaton
11838,nm0000473,Réalisateur,Diane Keaton
11857,nm0000474,Acteur,Michael Keaton
11892,nm0000475,Acteur,Patsy Kensit
11901,nm0000476,Acteur,Sally Kirkland
11908,nm0000477,Acteur,Mia Kirshner
11919,nm0000478,Acteur,Tawny Kitaen
11926,nm0000479,Acteur,Walter Koenig
11927,nm0000480,Acteur,Elias Koteas
11950,nm0000481,Acteur,Alice Krige
11961,nm0000482,Acteur,Sylvia Kristel
11975,nm0000483,Acteur,Christopher Lambert
11990,nm0000483,Producteur,Christopher Lambert
12008,nm0000484,Réalisateur,John Landis
12025,nm0000485,Réalisateur,Fritz Lang
12037,nm0000486,Acteur,Heather Langenkamp
12043,nm0000487,Réalisateur,Ang Lee
12051,nm0000488,Acteur,Brandon Lee
12056,nm0000489,Acteur,Christopher Lee
12130,nm0000490,Acteur,Spike Lee
12131,nm0000490,Réalisateur,Spike Lee
12142,nm0000490,Producteur,Spike Lee
12156,nm0000491,Acteur,John Leguizamo
12179,nm0000491,Producteur,John Leguizamo
12197,nm0000492,Acteur,Jennifer Jason Leigh
12231,nm0000493,Acteur,Jack Lemmon
